,Frecuencia
escucha,7216
entrar,7146
ningún,7130
corazón,7126
diablos,7110
necesitamos,7108
atrás,7098
durante,7083
dices,7077
nuestros,7054
persona,7039
abajo,7015
dr,7005
hija,6984
dejar,6976
necesita,6965
llegar,6965
hago,6930
señora,6909
haya,6853
suficiente,6840
doctor,6820
gustaría,6791
tierra,6784
cara,6768
siquiera,6760
genial,6746
cree,6732
supuesto,6678
tomar,6672
equipo,6639
justo,6629
juego,6624
ninguna,6586
matar,6584
cinco,6527
dicen,6511
amo,6489
cuándo,6459
pequeño,6450
algunos,6414
conozco,6391
clase,6381
maldito,6325
unas,6321
muchos,6320
hubiera,6313
segundo,6304
aunque,6289
pueda,6277
dime,6271
igual,6270
comida,6269
ay,6263
cuerpo,6261
encontrar,6241
fuerte,6226
vuelta,6221
venga,6201
creer,6161
realidad,6140
saben,6098
puta,6089
deberías,6015
pregunta,5993
fui,5993
cuatro,5981
sra,5979
primer,5962
trabajar,5949
e,5946
hagas,5929
alto,5917
maldita,5910
comer,5908
número,5907
dar,5904
necesitas,5896
john,5896
oportunidad,5893
punto,5851
misma,5850
última,5848
afuera,5842
mujeres,5826
pensar,5815
fueron,5811
difícil,5794
vivir,5750
paso,5745
malo,5741
estabas,5713
vivo,5689
haga,5640
queda,5639
hijos,5629
mayor,5620
fiesta,5620
hacen,5613
medio,5609
algunas,5604
basta,5589
ei,5538
arma,5531
vino,5529
meses,5521
cuarto,5513
éste,5512
escuela,5509
esté,5482
dólares,5476
tío,5426
posible,5424
tuve,5423
fácil,5423
preocupes,5418
jack,5414
luz,5387
eran,5382
carajo,5373
final,5365
lista,5360
trata,5358
armas,5356
hermana,5326
exactamente,5311
chicas,5299
podía,5291
bastante,5289
seguridad,5288
pasando,5283
esperando,5283
acá,5275
teléfono,5271
perro,5265
fuego,5259
murió,5249
tampoco,5232
sola,5210
estuvo,5192
verte,5188
iré,5175
tenido,5174
culpa,5173
veras,5168
adónde,5160
buscando,5153
cuanto,5127
padres,5096
paz,5066
demonios,5055
estará,5037
cual,5004
perdón,4976
asi,4965
jugar,4955
pensando,4921
esperar,4919
sabemos,4914
recuerdo,4902
par,4889
joven,4886
seguir,4870
pueblo,4868
tenga,4846
caballeros,4840
idiota,4839
dio,4838
minuto,4821
bebé,4820
única,4819
lejos,4804
nuestras,4790
plan,4775
pienso,4767
sentido,4748
dormir,4747
digas,4743
palabra,4739
correcto,4726
control,4722
vemos,4715
entiendes,4714
país,4689
seis,4686
último,4679
ésta,4668
diga,4651
podrías,4639
pequeña,4601
cállate,4589
trato,4586
rey,4582
sucede,4581
sam,4580
muchachos,4578
jamás,4577
cama,4576
srta,4572
ayudar,4553
acerca,4552
di,4530
cambio,4518
falta,4507
hospital,4505
lleva,4486
presidente,4478
mil,4473
gusto,4431
conoces,4422
diciendo,4407
os,4402
ido,4392
general,4392
extraño,4389
semanas,4388
coche,4384
peor,4373
mucha,4368
disculpe,4358
diré,4358
anoche,4347
perder,4344
vámonos,4342
nave,4307
cielo,4307
habrá,4303
orden,4292
segura,4288
querida,4276
niña,4275
michael,4260
increíble,4249
además,4243
deben,4235
libro,4227
calle,4223
café,4212
piensas,4206
hacemos,4200
especial,4192
queremos,4189
ia,4187
clark,4178
irme,4167
perfecto,4159
buscar,4155
odio,4153
piensa,4145
oficina,4143
hablas,4142
libre,4138
agente,4121
york,4108
llamar,4104
mala,4099
detrás,4099
viste,4081
dile,4073
grandes,4060
recuerdas,4058
real,4051
estaban,4039
mía,4036
frente,4035
perdido,4030
llamo,4018
muertos,4015
millones,4015
asesino,4015
sueño,3978
quisiera,3966
habría,3964
hará,3953
viaje,3934
probablemente,3931
peter,3931
resto,3923
estaré,3920
maldición,3910
lamento,3900
muchacho,3899
avión,3898
ropa,3885
fuerza,3883
llamado,3871
oído,3870
frank,3867
dado,3856
encima,3855
negro,3854
usar,3835
información,3832
uds,3831
preguntas,3823
tuvo,3822
secreto,3819
vuelve,3815
miren,3814
quieras,3813
haría,3811
acaba,3804
otras,3791
incluso,3778
sientes,3777
deberíamos,3774
haz,3766
decirte,3754
boca,3746
dolor,3734
baño,3733
adentro,3725
profesor,3720
habitación,3713
daño,3712
tuyo,3711
seas,3700
noticias,3693
demás,3687
querido,3681
duro,3679
poner,3677
prueba,3662
mire,3656
tonto,3655
campo,3649
siendo,3645
diez,3645
ése,3606
tranquilo,3605
asunto,3600
acabó,3599
quédate,3595
derecho,3595
placer,3592
recuerda,3591
estuve,3587
tratando,3585
ejército,3582
futuro,3580
llevar,3575
compañía,3569
venido,3558
listos,3552
haremos,3547
sitio,3535
verlo,3527
puesto,3525
atención,3525
sino,3506
cambiar,3503
error,3501
blanco,3493
raro,3489
palabras,3483
llegó,3478
sal,3476
pase,3475
mente,3470
sistema,3464
película,3462
anda,3462
ello,3460
negocio,3457
novia,3445
permiso,3438
creí,3438
suena,3437
ocurre,3427
oficial,3425
espere,3425
aire,3422
george,3421
mató,3397
harry,3396
regresar,3395
vio,3389
hazlo,3373
trasero,3357
grupo,3352
entendido,3346
señorita,3339
música,3335
perra,3334
conoce,3330
empezar,3326
siente,3317
acabo,3303
estúpido,3302
diferente,3294
traje,3289
modo,3286
james,3275
encontré,3273
mensaje,3260
llamada,3257
navidad,3239
eras,3234
pena,3232
largo,3231
entra,3227
piso,3224
foto,3224
dijeron,3224
médico,3211
accidente,3208
fuiste,3204
imposible,3199
podríamos,3194
línea,3190
propia,3180
barco,3177
ganar,3167
normal,3159
segundos,3150
vive,3142
mitad,3133
quiera,3129
tras,3120
decirle,3120
lindo,3118
funciona,3118
programa,3109
vine,3103
abre,3103
sean,3102
pagar,3098
fotos,3094
centro,3089
supone,3085
basura,3083
situación,3079
mejores,3075
vienen,3068
encanta,3065
marido,3064
personal,3057
maestro,3055
hambre,3053
ataque,3052
culo,3047
dale,3046
pie,3044
conseguir,3041
trabajando,3036
gracioso,3035
dejó,3030
pudo,3021
derecha,3021
izquierda,3019
próxima,3016
pobre,3004
respuesta,3000
tipos,2998
sentir,2997
tenías,2995
pude,2993
darle,2990
voz,2989
amiga,2986
gustan,2982
vista,2980
salvo,2975
loca,2971
hotel,2971
hicieron,2970
ten,2967
temo,2967
señal,2966
pelo,2966
llevo,2966
ayer,2964
das,2960
nena,2959
servicio,2958
tren,2943
tom,2943
bonito,2936
mes,2933
tendrá,2929
tendrás,2925
edad,2924
ellas,2923
hermosa,2921
ben,2915
honor,2910
simplemente,2894
llamas,2875
tengas,2874
corre,2874
baja,2874
sol,2873
siéntate,2872
dan,2869
humano,2867
divertido,2866
sexo,2865
vuelto,2864
peligro,2855
mesa,2847
jimmy,2847
siguiente,2845
hablo,2842
disculpa,2842
decirme,2838
joe,2834
caja,2834
negocios,2832
misión,2824
silencio,2822
sale,2818
llegado,2818
estaría,2807
regreso,2803
media,2803
estan,2774
propio,2772
charlie,2772
oro,2769
enseguida,2757
linda,2751
prometo,2745
esposo,2733
norte,2727
hubo,2726
juro,2725
muerta,2724
interesante,2724
pensaba,2714
busca,2706
terminar,2702
tendré,2698
completamente,2696
cita,2694
siete,2690
cumpleaños,2685
abogado,2681
alrededor,2677
cerebro,2676
porqué,2672
llave,2672
santo,2669
hermoso,2669
necesario,2667
edificio,2665
irnos,2664
aun,2661
tendremos,2655
vayas,2648
doy,2641
trae,2640
salió,2640
ley,2638
ahi,2630
verdadero,2624
pelea,2623
banco,2620
terrible,2618
calma,2616
cena,2614
daré,2613
gobierno,2606
comprar,2604
creen,2590
sargento,2584
destino,2581
bob,2579
existe,2574
hacía,2571
novio,2561
sala,2543
través,2540
regalo,2537
iglesia,2536
decía,2535
cualquiera,2533
excelente,2532
esperen,2532
deseo,2532
alma,2532
diablo,2531
deje,2528
cuántos,2525
espada,2521
estábamos,2519
carne,2519
maravilloso,2518
vidas,2508
sucedió,2504
oí,2501
peligroso,2500
dirección,2496
libertad,2492
jesús,2492
ocurrió,2491
veré,2485
sueños,2484
pudiera,2484
detective,2481
sorpresa,2480
tuya,2475
pies,2475
club,2471
terminado,2468
infierno,2466
creía,2464
luna,2461
salvar,2460
carta,2458
estés,2457
cielos,2453
teniente,2452
encuentra,2452
david,2452
veamos,2448
quise,2448
escúchame,2447
necesitan,2445
ambos,2443
decisión,2442
roma,2440
enemigo,2440
hicimos,2430
éi,2424
dulce,2424
pruebas,2422
querías,2419
abuelo,2411
totalmente,2408
mirando,2407
vayan,2406
carrera,2406
vuelo,2401
ante,2395
bienvenido,2394
harás,2393
encontramos,2393
encontrado,2393
contacto,2392
posición,2391
saberlo,2390
planeta,2387
humanos,2387
coronel,2382
junto,2379
diría,2378
ésa,2372
base,2372
oír,2369
suelo,2357
pelear,2356
ayudarte,2354
pistola,2350
frío,2347
comandante,2344
partes,2339
llega,2339
verás,2334
sur,2330
iremos,2326
rato,2319
mar,2316
espacio,2316
asesinato,2313
ventana,2311
prisa,2311
tienda,2309
cámara,2298
puedas,2296
según,2294
broma,2292
reunión,2289
despierta,2287
sacar,2286
tí,2276
segunda,2276
papel,2267
locura,2264
departamento,2261
horrible,2257
enfermo,2253
pregunto,2252
cárcel,2250
órdenes,2248
intento,2245
isla,2244
salida,2241
llamó,2239
volveré,2238
usa,2238
gato,2238
paul,2237
hagan,2237
dejes,2237
duele,2233
vengan,2230
crimen,2227
esperaba,2223
causa,2222
bar,2221
seré,2219
ocho,2218
temprano,2210
río,2210
relación,2206
drogas,2204
luces,2201
bromeando,2190
ojalá,2186
hablamos,2186
trabaja,2185
irse,2185
libros,2184
radio,2181
mary,2181
ray,2180
bill,2180
vienes,2176
quedan,2167
excepto,2166
brazo,2166
tome,2161
rojo,2159
conocido,2156
universidad,2155
investigación,2155
batalla,2155
reglas,2151
cargo,2151
hogar,2148
ninguno,2141
dieron,2137
vuelva,2136
sabías,2133
respeto,2132
estación,2131
corte,2131
paciente,2130
encuentro,2127
energía,2126
dejado,2126
baile,2126
fbi,2125
abuela,2123
caliente,2119
vieja,2118
viendo,2117
veremos,2115
rayos,2115
simple,2112
bailar,2109
papa,2106
triste,2097
zona,2096
serás,2096
guardia,2093
canción,2092
salud,2089
escuchar,2086
parar,2079
mike,2079
estarás,2079
cenar,2078
max,2075
soldados,2071
caballo,2070
serán,2068
estaremos,2065
interesa,2058
volar,2054
principio,2054
nivel,2051
cálmate,2048
conocer,2047
finalmente,2044
alegro,2044
debajo,2043
podrían,2041
bosque,2041
bonita,2040
bolsa,2037
pone,2036
taxi,2035
ocupado,2035
amable,2030
ryan,2028
acaso,2028
detente,2027
imbécil,2026
san,2021
equivocado,2021
viva,2020
puso,2019
obra,2019
consejo,2016
público,2013
ayúdame,2011
animales,2010
azul,2008
apuesto,2007
prisión,2006
mirar,2004
inteligente,2001
metros,1998
fantástico,1997
próximo,1993
jugando,1992
ojo,1990
salga,1987
vea,1986
llaman,1986
entrada,1983
duda,1983
cerveza,1982
unidos,1981
matado,1978
princesa,1971
perdí,1971
entender,1970
santa,1969
quedar,1965
miles,1965
llamaré,1965
compañero,1965
pensado,1956
espalda,1956
dejé,1956
bomba,1956
alex,1956
cartas,1954
apenas,1953
leer,1946
hermanos,1944
darme,1941
papi,1938
mantener,1938
suyo,1937
rico,1937
verla,1936
lee,1936
bobby,1927
sigues,1922
toca,1921
olvídalo,1917
acción,1914
hayas,1907
dioses,1907
mando,1906
dejaré,1906
llegue,1904
formas,1904
uh,1903
henry,1903
cierra,1903
damas,1900
puente,1892
memoria,1891
regresa,1889
muévanse,1888
parecía,1887
vestido,1885
llaves,1885
tv,1884
camión,1884
acabar,1884
robot,1882
llevó,1882
montón,1881
estuviste,1881
máquina,1877
puertas,1874
podamos,1872
muere,1869
trago,1868
mayoría,1868
reina,1867
lleno,1863
inglés,1862
don,1861
soldado,1860
estrella,1860
escuche,1860
valor,1859
pido,1857
delante,1857
código,1855
héroe,1854
fe,1854
capaz,1851
verme,1845
beber,1845
velocidad,1844
darte,1844
llevas,1843
partido,1841
estuviera,1840
tony,1836
lex,1834
dia,1834
opinión,1832
irte,1831
cocina,1831
abrir,1831
perros,1830
tambien,1829
sepa,1829
pareces,1829
escribir,1829
golpe,1828
tenia,1825
alta,1825
estados,1820
tocar,1817
vuelvo,1815
habían,1814
ganas,1814
hacerte,1811
dejo,1808
volvió,1806
ejemplo,1805
robert,1804
contar,1803
tenían,1798
propósito,1794
entiende,1790
empieza,1790
anillo,1790
londres,1788
tendría,1786
pedir,1783
estilo,1783
ayudarme,1783
pista,1782
cambiado,1782
escapar,1780
eeuu,1780
encontró,1777
espíritu,1776
viejos,1775
molesta,1773
nota,1771
diferencia,1771
tratar,1770
precio,1769
caballero,1767
sirve,1765
alegra,1765
doble,1763
agradable,1763
embargo,1762
tengan,1760
tuvimos,1758
sube,1758
estén,1758
mami,1757
emergencia,1757
cuello,1756
boda,1755
aprender,1755
pete,1754
té,1753
informe,1750
blanca,1750
experiencia,1746
debía,1742
podido,1741
mentira,1740
director,1740
mata,1739
exacto,1736
eddie,1736
déjalo,1735
defensa,1733
tuviste,1731
confiar,1727
color,1727
bond,1727
hacerle,1726
aquel,1726
conocí,1723
probar,1722
príncipe,1722
irá,1722
sóio,1719
ai,1718
despacio,1717
tiro,1715
vacaciones,1714
perdió,1714
fondo,1714
chris,1712
verde,1711
parecen,1711
mama,1711
bienvenida,1710
opción,1707
operación,1705
jim,1704
hablado,1702
traer,1699
principal,1698
demonio,1698
zapatos,1696
leo,1694
anna,1693
respecto,1692
nuevos,1692
especie,1691
pidió,1689
éxito,1689
cabrón,1686
mírame,1685
piernas,1676
unidad,1675
hielo,1674
llegamos,1672
déjeme,1670
ios,1667
debí,1667
vendrá,1663
matrimonio,1661
habías,1660
podrá,1659
piel,1659
preocupa,1657
quedarme,1656
mio,1656
tuviera,1655
tiempos,1655
richard,1655
quienes,1647
oiga,1645
últimos,1642
oigan,1641
fuimos,1641
arte,1641
necesitaba,1637
quiénes,1636
común,1632
intentando,1631
llevaré,1630
levántate,1630
correr,1630
brillante,1630
calor,1628
planes,1626
dra,1624
visita,1620
presión,1619
pared,1618
esperanza,1618
completo,1618
subir,1617
cansado,1613
llame,1612
recordar,1611
trampa,1610
monstruo,1610
bajar,1610
pierna,1607
señores,1605
tomó,1604
pasará,1602
mataste,1602
grandioso,1601
socio,1600
herido,1599
cayó,1599
fuerzas,1598
nick,1597
cine,1597
escena,1596
tía,1595
danny,1594
dando,1594
puntos,1592
teníamos,1591
dejaste,1589
muévete,1588
larga,1588
solía,1587
tema,1586
preparado,1586
depende,1585
policías,1583
solos,1582
matarme,1579
mark,1579
pon,1576
hubiese,1576
bebe,1576
tanta,1573
oeste,1572
parís,1569
viento,1568
jóvenes,1567
hacerme,1566
asiento,1563
carter,1561
washington,1560
estupendo,1560
caminar,1560
juicio,1559
creerlo,1558
carga,1557
tranquila,1553
banda,1553
estarán,1548
animal,1548
escuchen,1547
bush,1543
encontraron,1541
dejas,1539
tarjeta,1537
ibas,1536
podrás,1535
nueve,1533
seguramente,1532
volverá,1531
majestad,1530
llena,1530
caer,1530
aeropuerto,1528
vayamos,1527
tommy,1527
acabado,1525
sigo,1524
enorme,1524
área,1524
muevas,1522
haberlo,1521
dejen,1521
ridículo,1519
reloj,1519
hagamos,1517
flores,1517
mapa,1515
culpable,1515
cuentas,1515
pareja,1514
tomando,1513
m,1513
laboratorio,1513
beso,1513
empezó,1512
pedí,1511
nariz,1511
cuestión,1511
terminó,1505
vengo,1504
the,1504
perdona,1503
acuerdas,1503
verano,1502
prefiero,1502
peso,1500
billy,1500
oscuridad,1499
diferentes,1499
cliente,1499
charles,1499
cuántas,1498
televisión,1495
suya,1495
prensa,1495
johnny,1495
vistazo,1493
inmediatamente,1492
solamente,1491
gordo,1490
quedarse,1488
posibilidad,1487
medicina,1485
malditos,1483
pantalones,1482
mataron,1481
ayude,1481
podremos,1480
locos,1476
nombres,1472
superman,1471
parecer,1470
américa,1469
definitivamente,1468
cinta,1467
desea,1466
brazos,1466
asuntos,1466
riesgo,1464
escuché,1462
lugares,1460
i,1460
cuento,1460
noticia,1459
dígame,1458
decirlo,1457
tonterías,1455
sentimientos,1453
objetivo,1453
pasada,1452
arreglar,1452
casado,1447
bote,1447
roja,1446
leyes,1445
millón,1442
árbol,1441
hable,1440
proyecto,1436
nervioso,1436
lana,1436
salido,1434
pedazo,1434
malas,1432
joder,1432
humana,1432
absolutamente,1432
evitar,1428
corriendo,1426
bala,1426
vosotros,1425
despues,1424
debido,1424
confianza,1422
especialmente,1419
intenta,1417
pequeños,1415
paga,1415
ganado,1415
ama,1415
limpio,1412
comenzar,1412
ángeles,1411
robots,1410
lleve,1410
ruido,1409
preocupe,1408
jason,1407
belleza,1406
salgan,1405
come,1405
verá,1404
deberían,1403
líder,1402
preguntar,1401
inocente,1401
andy,1401
lástima,1399
red,1396
enfermedad,1396
desgraciado,1396
harán,1392
dientes,1391
maté,1388
central,1388
ponte,1387
felices,1387
supe,1385
haberte,1385
marcha,1383
poderes,1381
hubieras,1381
justicia,1380
bella,1380
dé,1378
proteger,1377
cabello,1377
pedido,1375
oscuro,1374
sarah,1373
embarazada,1373
costa,1371
dama,1370
alguno,1368
orgulloso,1367
vos,1366
tomado,1366
digamos,1365
debió,1365
gana,1364
cura,1364
lengua,1362
araña,1362
podré,1361
voluntad,1359
total,1358
dedo,1357
pago,1356
agradezco,1356
partir,1355
lucha,1355
leche,1355
luke,1354
diste,1354
copa,1354
quedarte,1353
seguros,1352
destruir,1352
bienvenidos,1352
llevan,1351
jerry,1351
ponga,1350
lados,1350
acceso,1350
parker,1349
intentar,1348
trajo,1347
desastre,1347
deber,1347
herida,1346
débil,1346
naturaleza,1345
luchar,1345
extraña,1345
encontraste,1345
vieron,1344
llámame,1344
imagen,1344
pan,1342
refieres,1339
clientes,1339
varios,1338
show,1338
auxilio,1337
oyes,1334
siguen,1332
sentado,1332
saliendo,1332
responsable,1331
olvidado,1330
quedó,1329
permite,1329
aquella,1329
puse,1328
sonido,1326
quiso,1326
escrito,1326
carro,1326
preciosa,1325
muestra,1325
bastardo,1325
restaurante,1322
huevos,1322
fantasma,1321
mismos,1320
profesional,1319
amas,1319
entero,1317
películas,1316
cerrado,1316
dedos,1312
sigan,1311
dueño,1311
cuchillo,1311
turno,1309
tormenta,1309
caray,1309
abierto,1309
quede,1306
verdadera,1305
mato,1305
doc,1305
playa,1304
km,1303
victoria,1302
primo,1301
oíste,1301
lisa,1301
interior,1301
hechos,1301
piedra,1300
jodido,1300
militar,1298
computadora,1297
encantaría,1296
siga,1293
silla,1292
movimiento,1292
momentos,1292
familiar,1292
apartamento,1291
disparar,1290
tesoro,1289
perfecta,1289
refiero,1288
motivo,1288
dará,1288
nuevas,1286
mr,1286
querer,1284
matarlo,1283
valiente,1282
víctima,1281
tendrán,1278
estúpida,1277
envió,1277
steve,1276
encantado,1276
diario,1275
abran,1275
sentí,1274
autobús,1274
traído,1273
casas,1271
apúrate,1270
encuentras,1269
descanso,1269
sheriff,1267
mulder,1267
mueve,1267
inglaterra,1265
quieto,1264
carl,1263
matarte,1262
calles,1262
tamaño,1261
colegio,1261
usando,1260
cabo,1260
video,1259
toques,1259
pelota,1258
yendo,1257
directo,1257
termine,1256
vivos,1253
sombrero,1253
tomé,1252
estudio,1252
grave,1251
protección,1249
secretos,1248
perdiendo,1248
pecho,1247
sepas,1244
enferma,1244
cuesta,1244
negros,1243
estrellas,1242
lago,1241
clases,1240
b,1239
obviamente,1238
inmediato,1238
modos,1237
irás,1237
robo,1235
mataré,1234
seria,1233
laura,1233
apoyo,1233
cerrar,1232
imagino,1231
amenaza,1231
toque,1230
larry,1230
saca,1229
viernes,1228
hayan,1227
roto,1226
lucy,1226
piloto,1223
marca,1222
combate,1222
hablé,1221
manejar,1220
sección,1219
profundo,1219
tantos,1218
conocía,1218
serie,1217
ed,1217
contrato,1217
americano,1217
paseo,1215
aviones,1215
balas,1214
repente,1213
cambia,1212
tropas,1210
llevará,1210
uso,1209
pudiste,1209
detener,1209
susan,1208
sabia,1207
llegué,1207
negra,1206
decidido,1203
comienza,1203
distancia,1202
éramos,1198
murieron,1196
averiguar,1196
actuar,1196
quedo,1194
pulso,1194
aguanta,1194
oficiales,1193
llamaba,1193
enemigos,1193
saldrá,1191
preocupado,1191
elección,1191
sobrevivir,1190
bordo,1190
sujeto,1189
pacientes,1189
disculpen,1189
época,1188
entró,1186
pesar,1185
habló,1185
walter,1184
vender,1183
piensan,1183
ex,1183
gratis,1182
desapareció,1182
empleo,1181
llamé,1180
conocen,1180
cerdo,1180
puedan,1179
comprendo,1178
tomo,1177
termina,1177
aléjate,1176
busco,1175
contento,1174
date,1173
tumba,1169
matt,1169
huellas,1169
cuerpos,1169
absoluto,1169
pide,1168
kent,1167
dura,1167
descansar,1167
respuestas,1166
propiedad,1166
llamando,1166
dormido,1166
castillo,1165
china,1164
datos,1160
torre,1159
robar,1159
americanos,1159
malos,1158
botella,1157
aquellos,1157
últimamente,1156
testigo,1155
s,1155
presento,1154
periódico,1154
kate,1154
juez,1154
historias,1154
gustaba,1154
créeme,1154
necesitar,1153
esquina,1153
millas,1152
llamadas,1152
fuente,1152
conocemos,1152
techo,1151
genio,1151
alerta,1150
ideas,1149
tomas,1148
olvidar,1148
menor,1148
droga,1148
explicar,1147
abierta,1145
privado,1144
miembros,1144
joey,1144
nacional,1143
gustó,1143
ross,1142
discutir,1141
evidencia,1140
detalles,1140
c,1139
tardes,1137
tomaré,1136
presente,1136
scott,1135
criminal,1135
premio,1134
vuelvas,1133
siéntese,1133
viniste,1131
recibir,1130
mires,1130
teniendo,1129
huele,1129
hables,1129
guardias,1129
enamorado,1129
cuidar,1128
pocos,1127
perdone,1126
natural,1126
caballos,1126
escucho,1124
enfermera,1124
ángel,1124
sospechoso,1123
local,1123
mentiras,1122
camisa,1122
confía,1119
aceptar,1118
venganza,1117
perdimos,1117
cuantos,1117
parque,1116
juegos,1114
chloe,1114
vives,1113
varias,1113
harías,1113
menudo,1112
déjenme,1112
barrio,1112
virus,1111
talento,1111
ministro,1111
hiciera,1111
robó,1109
conocerte,1109
viviendo,1108
responsabilidad,1108
respira,1108
números,1108
pertenece,1107
desayuno,1107
dave,1107
campeón,1107
controlar,1106
maría,1105
nieve,1104
méxico,1104
howard,1104
dias,1103
vergüenza,1101
doctora,1101
blancos,1101
fumar,1100
llevamos,1099
europa,1099
dudo,1099
athena,1099
pastel,1097
quedas,1096
cae,1096
vimos,1095
recibido,1094
andando,1094
agentes,1094
fueras,1093
asustado,1093
perdóname,1092
reino,1091
clave,1091
papeles,1090
matando,1090
jake,1090
efecto,1090
r,1089
plata,1089
olvidé,1089
iban,1089
universo,1088
política,1088
almuerzo,1088
magia,1087
lluvia,1087
humor,1087
autos,1087
veía,1086
tantas,1086
respirar,1086
cantar,1086
trabajas,1085
julie,1084
disparo,1084
conversación,1084
olor,1083
