Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Indira de Jesús Rosales San Román,Senadora,@Indira_rs,Plurinominal,21-09-1,,,,,M,34,
María Guadalupe Saldaña Cisneros,Senadora,@LupitaSaldana_,Baja California Sur,21-06-10,,,,,M,50,
Lilly Téllez ,Senadora,@LillyTellez,Sonora,18-09-1,,,,,M,54,
Josefina Vázquez Mota,Senadora,@JosefinaVM,Plurinominal,18-09-1,,,,,M,61,
Claudia Edith Anaya Mota,Senadora,@ClaudiAnaya,Zacatecas,18-09-1,,,,,M,43,
Sylvana Beltrones Sánchez,Senadora,@sylbeltrones,Sonora,18-09-1,,,,,M,40,
Verónica Martínez García,Senadora,@Veronica_mtz,Coahuila,18-09-1,,,,,M,38,
Nuvia Magdalena Mayorga Delgado,Senadora,@Nuvia_Mayorga,Hidalgo,18-09-1,,,,,M,56,
Beatriz Elena Paredes Rangel,Senadora,@BeatrizPRangel_,Plurinominal,18-09-1,,,,,M,69,
Claudia Ruiz Massieu Salinas,Senadora,@ruizmassieu,Plurinominal,19-08-16,,,,,M,50,
 Verónica Delgadillo García,Senadora,@VeroDelgadilloG,Jalisco,18-09-1,,,,,M,39,
Indira Kempis Martínez,Senadora,@IndiraKempis,Nuevo León,18-09-1,,,,,M,40,
Patricia Mercado ,Senadora,@Pat_MercadoC,Plurinominal,18-09-1,,,,,M,60,
Gloria Elizabeth Núñez Sánchez,Senadora,@GloriaNunezs,Nayarit,18-09-1,,,,,M,38,
Geovanna Bañuelos ,Senadora,@geovanna_b,Plurinominal,18-09-1,,,,,M,40,
Martha Cecilia Márquez Alvarado,Senadora,@mmarquezags,Aguascalientes,18-09-1,,,,,M,38,
Cora Cecilia Pinedo Alonso,Senadora,@Corasenadora1,Nayarit,18-09-1,,,,,M,54,
Gabriela Benavides Cobos,Senadora,@BenavidesCobos,Colima,18-09-1,,,,,M,44,
María Graciela Gaitán Díaz,Senadora,@graciela_diazg,San Luis Potosí,21-03-4,,,,,M,,
Leonor Noyola Cervantes,Ex-senadora,@PRDLeonorNoy,San Luis Potosí,18-09-1,21-03-4,,,,M,60,
Alejandra Lagunes Soto Ruíz,Senadora,@alelagunes,Plurinominal,18-09-1,,,,,M,50,
Katya Elizabeth Ávila Vázquez,Senadora,,Plurinominal,18-8-19,,,,,M,,
Sasil De León Villard,Senadora,@sasildeleon,Chiapas,18-09-1,,,,,M,39,
Marcela Mora ,Senadora,@MarcelaMoraA,Plurinominal,18-08-29,,,,,M,,
Eunice Renata Romo Molina,Senadora,@eunice_romom,Plurinominal,18-09-1,,,,,M,,
Nancy De la Sierra Arámburo,Senadora,@Nancydelasa,Puebla,18-09-1,,,,,M,52,
Alejandra del Carmen León Gastélum,Senadora,@ALEJANLEON,Baja California norte,18-09-1,,,,,M,46,
José Antonio Cruz Álvarez Lima,Senador,,Tlaxcala,18-09-1,,,,,H,80,
Cristóbal Arias Solís,Senador,@CristobalAriaSo,Michoacán,18-09-1,,,,,H,68,
Alejandro Armenta Mier,Senador,@armentapuebla_,Puebla,18-09-1,,,,,H,53,
Jaime Bonilla Valdez,Senador,@Jaime_BonillaV,Baja California norte,18-09-1,,,,,H,72,
Gerardo Novelo Osuna,Ex-senador,@MxGerardoNovelo,Baja California norte,18-12-6,,,,,H,,
Arturo Bours Griffith,Senador,@Arturo_Bours,Sonora,12-11-18,,,,,H,67,
Elí César Eduardo Cervantes Rojas,Senador,@eli_csar,San Luis Potosí,21-05-21,,,,,H,38,
Primo Dothé Mata,Ex-senador,,San Luis Potosí,18-09-1,,,,,H,54,
César Arnulfo Cravioto Romero,Senador,@craviotocesar,Ciudad de México,21-07-16,,,,,H,,
Martí Batres Guadarrama,Ex-senador,@martibatres,Ciudad de México,18-09-1,,,,,H,55,
Raúl de Jesús Elenes Angulo,Senador,@raul_elenes,Sinaloa,21-03-9,,,,,H,55,
Rubén Rocha Moya,Ex-senador,@rochamoya_,Sinaloa,18-8-1,,,,,H,73,
José Ramón Enríquez Herrera,Senador,@DrRamonEnriquez,Durango,18-09-1,,,,,H,58,
Rafael Espino de la Peña,Senador,,Chihuahua,21-09-10,,,,,H,,
Cruz Pérez Cuéllar,Ex-senador,@CruzPerzCuellar,Chihuahua,18-09-1,,,,,H,53,
Gabriel García Hernández,Senador,@GabrielGarcia_H,Plurinominal,18-09-1,,,,,H,47,
Salomón Jara Cruz,Ex-senador,@salomonj,Oaxaca,18-09-1,,,,,H,62,
Napoleón Gómez Urrutia,Senador,@NGomezUrrutiaMX,Plurinominal,18-09-1,,,,,H,78,
Santana Armando Guadiana Tijerina,Senador,@aguadiana,Coahuila,18-09-1,,,,,H,76,
Daniel Gutiérrez Castorena,Senador,@DanielGtzAgs,Aguascalientes,18-09-1,,,,,H,67,
Gilberto Herrera Ruiz,Senador,@GilbertoHRuiz,Querétaro,20-11-1,,,,,H,57,
Faustino López Vargas,Senador,@FaustinoLopezV,Tamaulipas,22-01-2,,,,,H,63,
Américo Villarreal Anaya,Ex-senador,@Dr_AVillarreal,Tamaulipas,18-09-1,,,,,H,64,
Higinio Martínez Miranda,Senador,@higinio_mtz,Estado de México,20-01-29,,,,,H,66,
Casimiro Méndez Ortiz,Senador,@senadorcasimiro,Plurinominal,18-09-1,,,,,H,44,
Ricardo Monreal Ávila,Senador,@RicardoMonrealA,Plurinominal,18-09-1,,,,,H,61,
Arturo del Carmen Moo Cahuich,Senador,@arturo_moo,Campeche,21-02-1,,,,,H,,
Aníbal Ostoa Ortega,Ex-senador,@aostoaortega,Campeche,18-09-1,21-08-31,,,,H,73,
José Narro Céspedes,Senador,@NarroJose,Zacatecas,18-09-1,,,,,H,63,
Ovidio Salvador Peralta Suárez,Senador,@OvidioPeraltaS,Tabasco,18-12-4,,,,,H,40,
Ernesto Pérez Astorga,Senador,@PerezAstorgaE,Veracruz,21-04-1,,,,,H,60,
Ricardo Ahued Bardahuil,Ex-senador,@ahuedricardo,Veracruz,18-09-1,21-03-23,,,,H,65,
Sergio Pérez Flores,Senador,@SenSergioPerez,Morelos,21-02-21,,,,,H,,
Radamés Salazar Solorio,Ex-senador,@RadamesSalazar,Morelos,18-09-1,21-02-21,,,,H,46,
Oscar Eduardo Ramírez Aguilar,Senador,@ramirezlalo_,Chiapas,18-09-1,,,,,H,44,
Navor Alberto Rojas Mancera,Senador,@NavorRojasM_,Hidalgo,18-09-1,,,,,H,59,
Félix Salgado Macedonio,Senador,@FelixSalMac,Guerrero,18-09-1,,,,,H,65,
Héctor Vasconcelos ,Senador,@HVasconcelos_,Plurinominal,18-09-1,,,,,H,77,
Ricardo Velázquez Meza,Senador,@BcsRicardo,Baja California Sur,18-12-4,,,,,H,50,
José Erandi Bermúdez Méndez,Senador,@ErandiBermudez,Guanajuato,18-09-1,,,,,H,45,
José Alfredo Botello Montes,Senador,@jabotellom,Querétaro,21-02-1,,,,,H,65,
Mauricio Kuri González,Ex-senador,@makugo,Querétaro,18-09-1,21-2-2,,,,H,53,
Víctor Oswaldo Fuentes Solís,Senador,@VictorFuentesNL,Nuevo León,18-09-1,,,,,H,47,
Ismael García Cabeza de Vaca,Senador,@IGCabezadeVaca,Tamaulipas,18-09-1,,,,,H,49,
Juan Antonio Martín del Campo Martín del Campo,Senador,@TMartinDelCampo,Aguascalientes,18-09-1,,,,,H,50,
Roberto Juan Moya Clemente,Senador,,Plurinominal,19-01-2,,,,,H,55,
Raúl Paz Alonzo,Senador,@RaulPazMx,Yucatán,18-09-1,,,,,H,46,
Julen Rementería del Puerto,Senador,@julenrementeria,Veracruz,18-09-1,,,,,H,61,
Damián Zepeda Vidales,Senador,@damianzepeda,Plurinominal,18-09-1,,,,,H,43,
Carlos Humberto Aceves del Olmo,Senador,@CarlosAceves_,Plurinominal,18-09-1,,,,,H,81,
Manuel Añorve Baños,Senador,@manuelanorve,Guerrero,18-09-1,,,,,H,65,
Eruviel Ávila Villegas,Senador,@eruviel_avila,Plurinominal,18-09-1,,,,,H,53,
Ángel García Yáñez,Senador,@angelgarciaya,Morelos,18-09-1,,,,,H,54,
Miguel Ángel Osorio Chong,Senador,@osoriochong,Plurinominal,18-09-1,,,,,H,58,
Jorge Carlos Ramírez Marín,Senador,@jc_ramirezmarin,Yucatán,18-09-1,,,,,H,61,
Mario Zamora Gastélum,Senador,@MarioZamoraG,Sinaloa,18-09-1,,,,,H,47,
Clemente Castañeda Hoeflich,Senador,@ClementeCH,Jalisco,18-09-1,,,,,H,50,
Noé Castañón ,Senador,@noecastanonr,Chiapas,18-10-30,,,,,H,44,
Dante Delgado ,Senador,@DanteDelgado,Plurinominal,18-10-30,,,,,H,71,
Marco Antonio Gama Basarte,Senador,@MarcoGamaSLP,San Luis Potosí,21-08-27,,,,,H,51,
Luis David Ortíz Salinas,Senador,@LuisDavidOrtiz_,Nuevo León,20-11-19,,,,,H,58,
José Luis Pech Várguez,Senador,@DrJLPech,Quintana Roo,18-09-1,,,,,H,68,
Juan Manuel Zepeda Hernández,Senador,@JuanZepeda_,Estado de México,19-01-9,,,,,H,53,
Alejandro González Yáñez,Senador,,Durango,18-08-29,,,,,H,65,
Joel Padilla Peña,Senador,@Sen_JoelPadilla,Colima,18-09-1,,,,,H,63,
Juan Manuel Fócil Pérez,Senador,@jmfocil,Tabasco,18-09-1,,,,,H,59,
Antonio García Conejo,Senador,@AntonioGC_PRD,Michoacán,18-09-1,,,,,H,50,
Miguel Ángel Mancera Espinosa,Senador,@ManceraMiguelMX,Plurinominal,18-09-1,,,,,H,56,
Raúl Bolaños-Cacho Cué,Senador,@RaulBCCue,Oaxaca,18-09-1,,,,,H,34,
Manuel Velasco Coello,Senador,@VelascoM_,Plurinominal,19-09-3,,,,,H,43,
Rogelio Israel Zamora Guzmán,Senador,@IsraelZamora_,Plurinominal,19-09-3,,,,,H,,
Emilio Álvarez Icaza Longoria,Senador,@EmilioAlvarezI,Ciudad de México,18-09-1,,,,,H,57,
Gustavo Enrique Madero Muñoz,Senador,@GustavoMadero,Chihuahua,18-08-29,,,,,H,66,
Germán Martínez Cázares,Senador,@gerpmartinez,Plurinominal,18-08-29,,,,,H,55,
Leonardo Montañez Castro,Presidente municipal,@LeoMontanezC,Aguascalientes,21-10-15,,,,,H,,
María Teresa Jiménez Esquivel,Ex-presidenta municipal,@TereJimenezE,Aguascalientes,17-01-1,21-03-6,,,,M,38,
Norma Alicia Bustamante Martínez,Presidenta municipal,@NormaMXL,Mexicali,21-10-09,,,,,M,,
Gustavo Sanchez Velasquez,Ex-presidente municipal,@hegusave,Mexicali,19-06-3,19-09-30,,,,H,,
Milena Paola Quiroga Romero​ ,Presidenta municipal,@quirogamilena_,La Paz,21-09-27,,,,,M,35,
Biby Karen Rabelo de la Torre,Presidenta municipal,@bibyrabelo,Campeche,21-09-26,,,,,M,35,
José María Fraustro Siller,Presidente municipal,@chema_fraustro,Saltillo,22-01-01,,,,,H,67,
Elia Margarita Moreno González,Presidenta municipal,,Colima ,21-06-06,,,,,M,,
Carlos Morales Vázquez,Presidente municipal,,Tuxtla Gutiérrez,18-10-1,,,,,H,64,Cuenta eliminada
Marco Bonilla Mendoza,Presidente municipal,@soyMarcoBonilla,Chihuahua,21-09-10,,,,,H,39,
Jorge Alejandro Salum del Palacio,Presidente municipal,@JorgeSalum,Durango,19-09-01,,,,,H,60,
Mario Alejandro Navarro Saldaña,Presidente municipal,@ANavarroMX,Guanajuato,18-10-1,,,,,H,,
Norma Otilia Hernández Martínez,Presidenta municipal,@otilia_norma,Chilpancingo,18-10-1,,,,,M,43,
Sergio Edgar Baños Rubio,Presidente municipal,@sergiobanosr,Pachuca,20-10-18,,,,,H,47,
Ismael del Toro Castro,Ex-presidente municipal,@DelToroIsmael,Guadalajara,18-10-01,21-04-10,,,,H,46,
 Eduardo Fabián Martínez Lomelí,Presidente municipal interino,@EduardoLomeli__,Guadalajara,21-04-10,,,,,H,,
Jesús Pablo Lemus Navarro,Presidente municipal,@PabloLemusN,Guadalajara,21-10-01,,,,,H,53,
Juan Rodolfo Sánchez Gómez,Ex-presidente municipal,@JuanRodolfo_SG,Toluca,19-01-01,21-12-09,,,,H,51,
Raymundo Edgar Martínez Carbajal,Presidente municipal,@RaymundoMC,Toluca,21-12-09,,,,,H,57,
Alfonso Martínez Alcázar,Presidente municipal,@AlfonsoMtz_Mx,Morelia,21-09-01,,,,,H,47,
José Luis Urióstegui Salgado,Presidente municipal,@jluriosteguis,Cuernavaca,22-01-01,,,,,H,61,
María Geraldine Ponce Méndez,Presidenta municipal,@GeraldinePonceM,Tepic,21-09-17,,,,,M,28,
Luis Donaldo Colosio Riojas,Presidente municipal,@colosioriojas,Monterrey,21-10-01,,,,,H,37,
Francisco Martínez Neri,Presidente municipal,@FMartinezNeri,Oaxaca,22-01-01,,,,,H,69,
Oswaldo García Jarquín,Ex-presidente municipal,@oswaldogarciaj,Oaxaca,19-01-01,22-01-01,,,,H,46,
Eduardo Rivera Pérez,Presidente municipal,@eduardorivera01,Puebla,21-10-15,,,,,H,50,
Luis Bernardo Nava Guerrero,Presidente municipal,@LuisBNava,Querétaro,21-06-10,,,,,H,47,
Yensunni Idalia Martínez Hernández ,Presidenta municipal,@yensunniOPB,Chetumal,21-06-06,,,,,M,34,
Enrique Francisco Galindo Ceballos,Presidente municipal,@EF_Galindo,San Luis Potosí,21-10-01,,,,,H,56,
Juan de Dios Gámez Mendívil ,Presidente municipal interino,@JuandDGamez,Culiacán,22-06-10,,,,,H,37,Designado por el senado
Jesús Estrada Ferreiro,Presidenta municipal,@estradaferreiro,Culiacán,21-06-07,,,,,H,68,
Antonio Astiazarán Gutiérrez,Presidente municipal,@tonoastiazaran,Hermosillo,21-09-16,,,,,H,51,
Yolanda Osuna Huerta,Presidenta municipal,@YolandaOsunaH,Villahermosa,21-10-05,,,,,M,64,
Eduardo Abraham Gattás Báez ,Presidente municipal,@SoyLaloGattas,Ciudad Victoria,21-10-01,,,,,H,55,
Jorge Alfredo Corich Fragoso,Presidente municipal,@_JorgeCorichi,Tlaxcala,21-06-06,,,,,H,60,
Ricardo Ahued Bardahuil ,Presidente municipal,@ahuedricardo,Xalapa,22-01-01,,,,,H,65,
Renán Alberto Barrera Concha,Presidente municipal,@RenanBarrera,Mérida,21-07-22,,,,,H,43,
Jorge Miranda Castro ,Presidente municipal,@_JorgeMirandaC,Zacatecas,21-06-06,,,,,H,,
Marina del Pilar Ávila Olmeda,Gobernadora,@MarinadelPilar,Baja California,21-11-01,,,,,M,37,
Layda Elena Sansores San Román,Gobernadora,@LaydaSansores,Campeche,21-9-16,,,,,M,76,
María Eugenia Campos Galván,Gobernadora,@MaruCampos_G,Chihuahua,21-9-08,,,,,M,46,
Claudia Sheinbaum Pardo,Jefa de gobierno,@Claudiashein,Ciudad de México,18-12-05,,,,,M,59,
Indira Vizcaíno Silva,Gobernadora,@indira_vizcaino,Colima,21-11-01,,,,,M,35,
Evelyn Cecia Salgado Pineda,Gobernadora,@EvelynSalgadoP,Guerrero,21-10-15,,,,,M,40,
Lorena Cuéllar Cisneros,Gobernadora,@LorenaCuellar,Tlaxcala,21-8-31,,,,,M,60,
Martín Orozco Sandoval,gobernador,@MartinOrozcoAgs,Aguascalientes,16-12-01,,,,,H,55,
Víctor Manuel Castro Cosío,gobernador,@VictorCastroCos,Baja California Sur,21-9-01,,,,,H,67,
Rutilio Cruz Escandón Cadenas,gobernador,@RutilioEscandon,Chiapas,18-12-08,,,,,H,64,
Miguel Ángel Riquelme Solís,Gobernador,@mrikelme,Coahuila,17-12-01,,,,,H,51,
José Rosas Aispuro Torres,Gobernador,@AispuroDurango,Durango,16-9-15,,,,,H,61,
Diego Sinhue Rodríguez Vallejo,Gobernador,@diegosinhue,Guanajuato,18-9-26,,,,,H,41,
Omar Fayad Meneses,Gobernador,@omarfayad,Hidalgo,16-9-05,,,,,H,59,
Enrique Alfaro Ramírez,Gobernador,@EnriqueAlfaroR,Jalisco,18-12-06,,,,,H,48,
Alfredo del Mazo Maza,Gobernador,@alfredodelmazo,Estado de México,17-9-16,,,,,H,47,
Alfredo Ramírez Bedolla,Gobernador,@ARBedolla,Michoacán,21-10-01,,,,,H,46,
Cuahutémoc Blanco Bravo,Gobernador,@cuauhtemocb10,Morelos,18-10-01,,,,,H,49,
Miguel Ángel Navarro Quintero,Gobernador,@MiguelANavarroQ,Nayarit,21-9-19,,,,,H,71,
Samuel Alejandro García Sepúlveda,Gobernador,@samuel_garcias,Nuevo León,21-10-04,,,,,H,34,
Alejandro Ismael Murat Hinojosa,Gobernador,@alejandromurat,Oaxaca,16-12-01,,,,,H,46,
Luis Miguel Gerónimo Barbosa Huerta,Gobernador,@MBarbosaMX,Puebla,19-8-01,,,,,H,62,
Mauricio Kuri González,Gobernador,@makugo,Querétaro,21-10-01,,,,,H,53,
Carlos Manuel Joaquín Manuel González,Gobernador,@CarlosJoaquin,Quintana Roo,12-9-25,,,,,H,57,
José Ricardo Gallardo Cardona,Gobernador,@RGC_Mx,San Luis Potosí,21-9-26,,,,,H,41,
Rubén Rocha Moya,Gobernador,"@rochamoya_
",Sinaloa,21-11-01,,,,,H,73,
Francisco Alonzo Durazo Montaño,Gobernador,@AlfonsoDurazo,Sonora,21-9-13,,,,,H,67,
Carlos Manuel Merino Campos,Gobernador interino,@cmmerino,Tabasco,21-8-26,,,,,H,58,
Francisco Javier García Cabeza de Vaca,Gobernador,@fgcabezadevaca,Tamaulipas,16-10-01,,,,,H,54,
Cuitláhuac García Jiménez,Gobernador,@CuitlahuacGJ,Veracruz,18-12-01,,,,,H,54,
Mauricio Vila Dosal,Gobernador,@MauVila,Yucatán,18-10-01,,,,,H,42,
David Monreal Ávila,Gobernador,@DavidMonrealA,Zacatecas,21-9-12,,,,,H,56,
Martín Orozco Sandoval,gobernador,@MartinOrozcoAgs,Aguascalientes,16-12-01,,,,,H,55,
Víctor Manuel Castro Cosío,gobernador,@VictorCastroCos,Baja California Sur,21-9-01,,,,,H,67,
Rutilio Cruz Escandón Cadenas,gobernador,@RutilioEscandon,Chiapas,18-12-08,,,,,H,64,
Miguel Ángel Riquelme Solís,Gobernador,@mrikelme,Coahuila,17-12-01,,,,,H,51,
José Rosas Aispuro Torres,Gobernador,@AispuroDurango,Durango,16-9-15,,,,,H,61,
Diego Sinhue Rodríguez Vallejo,Gobernador,@diegosinhue,Guanajuato,18-9-26,,,,,H,41,
Omar Fayad Meneses,Gobernador,@omarfayad,Hidalgo,16-9-15,,,,,H,59,
Enrique Alfaro Ramírez,Gobernador,@EnriqueAlfaroR,Jalisco,18-12-06,,,,,H,48,
Alfredo del Mazo Maza,Gobernador,@alfredodelmazo,Estado de México,17-9-16,,,,,H,47,
Alfredo Ramírez Bedolla,Gobernador,@ARBedolla,Michoacán,21-10-01,,,,,H,46,
Cuahutémoc Blanco Bravo,Gobernador,@cuauhtemocb10,Morelos,18-10-01,,,,,H,49,
Miguel Ángel Navarro Quintero,Gobernador,@MiguelANavarroQ,Nayarit,21-9-19,,,,,H,71,
Samuel Alejandro García Sepúlveda,Gobernador,@samuel_garcias,Nuevo León,21-10-04,,,,,H,34,
Alejandro Ismael Murat Hinojosa,Gobernador,@alejandromurat,Oaxaca,16-12-04,,,,,H,46,
Luis Miguel Gerónimo Barbosa Huerta,Gobernador,@MBarbosaMX,Puebla,19-8-01,,,,,H,62,
Mauricio Kuri González,Gobernador,@makugo,Querétaro,21-10-01,,,,,H,53,
Carlos Manuel Joaquín Manuel González,Gobernador,@CarlosJoaquin,Quintana Roo,12-9-25,,,,,H,57,
José Ricardo Gallardo Cardona,Gobernador,@RGC_Mx,San Luis Potosí,21-9-26,,,,,H,41,
Rubén Rocha Moya,Gobernador,"@rochamoya_
",Sinaloa,21-11-01,,,,,H,73,
Francisco Alonzo Durazo Montaño,Gobernador,@AlfonsoDurazo,Sonora,21-9-13,,,,,H,67,
Carlos Manuel Merino Campos,Gobernador interino,@cmmerino,Tabasco,21-8-26,,,,,H,58,
Francisco Javier García Cabeza de Vaca,Gobernador,@fgcabezadevaca,Tamaulipas,16-10-01,,,,,H,54,
Cuitláhuac García Jiménez,Gobernador,@CuitlahuacGJ,Veracruz,18-12-01,,,,,H,54,
Mauricio Vila Dosal,Gobernador,@MauVila,Yucatán,18-10-01,,,,,H,42,
David Monreal Ávila,Gobernador,@DavidMonrealA,Zacatecas,21-9-12,,,,,H,56,
Andrés Manuel López Obrador,Presidente de la nación,@lopezobrador_,Federal,18-12-20,,,,,H,68,
